Student_ID,Name,Email,Phone,Course,Fee_Paid,City,Enrolled_Date,Email_Valid,Category
STU1020,Revathi M,revathim@yahoo.com,9191919191,Machine Learning,TRUE,Trichy,2025-06-12,TRUE,other_valid_email
STU1023,Prasanth J,prasanthj@gmail.com,7474747474,Python,TRUE,Madurai,2025-03-05,TRUE,other_valid_email
STU1026,Janaki R,janakir@gmail.com,9696969696,Data Science,TRUE,Salem,2025-05-02,TRUE,other_valid_email
STU1028,Usha D,ushad@gmail.com,8989898989,Machine Learning,FALSE,Madurai,2025-04-21,TRUE,other_valid_email
STU1030,Thenmozhi,thenmozhi@gmail.com,8121212121,Machine Learning,TRUE,UNKNOWN,2025-04-13,TRUE,other_valid_email
STU1031,Arjun C,arjunc@gmail.com,7232323232,Python,FALSE,Trichy,2025-01-15,TRUE,other_valid_email
STU1033,Naveen B,naveenb@gmail.com,9343434343,Python,TRUE,Salem,2025-06-23,TRUE,other_valid_email
STU1036,Suganya T,suganyt@gmail.com,9676767676,Data Science,TRUE,Madurai,2025-04-10,TRUE,other_valid_email
STU1039,Mohan J,mohanj@yahoo.com,9898989898,Python,TRUE,Salem,2025-01-23,TRUE,other_valid_email
STU1043,Balaji T,balajit@gmail.com,7232323232,Data Science,FALSE,Madurai,2025-03-17,TRUE,other_valid_email
STU1046,Chitra R,chitrar@gmail.com,9454545454,Machine Learning,FALSE,Trichy,2025-03-15,TRUE,other_valid_email
STU1048,Latha S,lathas@gmail.com,8676767676,Data Science,TRUE,Coimbatore,2025-04-04,TRUE,other_valid_email
STU1003,Ravi Kumar,,9123456789,Python,TRUE,Madurai,2025-02-19,FALSE,other_invalid_email
STU1005,Karthik,,,Python,TRUE,UNKNOWN,2025-02-08,FALSE,other_invalid_email
STU1007,Suresh T,,7654321098,Python,FALSE,Trichy,2025-01-14,FALSE,other_invalid_email
STU1009,Rajesh Kk,,8877665544,Python,TRUE,Coimbatore,2025-05-15,FALSE,other_invalid_email
STU1012,Meena D,,,Machine Learning,TRUE,Salem,2025-02-21,FALSE,other_invalid_email
STU1017,Dinesh R,,8080808080,Data Science,TRUE,Madurai,2025-02-23,FALSE,other_invalid_email
STU1019,Bala K,,7070707070,Machine Learning,FALSE,Salem,2025-06-12,FALSE,other_invalid_email
STU1022,Geetha,,9393939393,Data Science,FALSE,Coimbatore,2025-05-08,FALSE,other_invalid_email
STU1025,Senthil K,,,PYTHON,FALSE,Trichy,2025-05-15,FALSE,other_invalid_email
STU1029,Gopal V,,9010101010,Python,TRUE,Coimbatore,2025-01-12,FALSE,other_invalid_email
STU1035,Karthi P,,7565656565,Python,TRUE,Coimbatore,2025-02-14,FALSE,other_invalid_email
STU1037,Venkat R,,8787878787,Python,FALSE,Trichy,2025-02-12,FALSE,other_invalid_email
STU1040,Dharani S,,7909090909,Data Science,FALSE,UNKNOWN,2025-04-19,FALSE,other_invalid_email
STU1042,Padma V,,9121212121,Python,TRUE,Coimbatore,2025-03-22,FALSE,other_invalid_email
STU1045,Selvam K,,8343434343,Machine Learning,TRUE,Salem,2025-02-28,FALSE,other_invalid_email
STU1049,Suresh B,,,Python,FALSE,Madurai,2025-04-20,FALSE,other_invalid_email
